"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"H002_batch3_repeated_stress"
"07/03/2026 09:44:30:989 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","human-regime-bias-mean","ai-regime-bias-mean","ai-proportion","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais"
"21","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","9.861019624482296","100.39064252690655","0.5577257918161475","100.39064252690655","0","0.5577257918161475","0","1191.2693364713316","1191.2693364713316","0","0","705.3713658473788","705.3713658473788","0","0","0.014638484145773845","0.5322101675301926","0.5322101675301926","0","0.46084622431422045","0.46084622431422045","0","100","0.07671127065102422","100","0"
"23","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","6","11.574025375332212","88.11191957075687","0.4895106642819826","88.11191957075687","0","0.4895106642819826","0","688.5883268441269","688.5883268441269","0","0","776.3517083323666","776.3517083323666","0","0","0.02236647799535718","0.1716836018523038","0.1716836018523038","0","0.12572555122941792","0.12572555122941792","0","100","0.10448241300427476","100","0"
"22","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","15.482571939991061","100.82170435785197","0.5601205797658443","100.82170435785197","0","0.5601205797658443","0","805.9522787021084","805.9522787021084","0","0","688.9813270045574","688.9813270045574","0","0","0.019619321542413193","0.24622178930847857","0.24622178930847857","0","0.20396818580140572","0.20396818580140572","0","100","0.09121180102645501","100","0"
"24","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","16","12.590624879832589","85.59070312392316","0.47550390624401756","85.59070312392316","0","0.47550390624401756","0","808.8611958508247","808.8611958508247","0","0","786.858147136836","786.858147136836","0","0","0.02093271285115117","0.26519151956454645","0.26519151956454645","0","0.20590746390054973","0.20590746390054973","0","100","0.08020333180526328","100","0"
"28","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","16.202895642246745","89.05126686907482","0.49472926038374904","89.05126686907482","0","0.49472926038374904","0","4495.560931163545","4495.560931163545","0","0","730.2497761053341","730.2497761053341","0","0","0.014466460565345507","1","1","0","1","1","0","100","0.0902603190747537","100","0"
"25","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","22.686454352491708","82.68286750838115","0.45934926393545084","82.68286750838115","0","0.45934926393545084","0","10316.29938676261","10316.29938676261","0","0","701.4171899696797","701.4171899696797","0","0","0.012010312217629382","1","1","0","1","1","0","100","0.07696571880169192","100","0"
"26","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","136","14.843242360299982","91.49050532287976","0.5082805851271097","91.49050532287976","0","0.5082805851271097","0","6934.830846351687","6934.830846351687","0","0","681.3536308216076","681.3536308216076","0","0","0.014010544198738373","1","1","0","1","1","0","100","0.0887788398100656","100","0"
"29","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","14.459525157838726","86.74181549297633","0.4818989749609796","86.74181549297633","0","0.4818989749609796","0","650.1491564350631","650.1491564350631","0","0","866.8674268332755","866.8674268332755","0","0","0.024460621705811425","0.1405004342799394","0.1405004342799394","0","0.10009943762337505","0.10009943762337505","0","100","0.08538402216287587","100","0"
"27","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","6","20.197221008760323","86.40469293196487","0.4800260718442493","86.40469293196487","0","0.4800260718442493","0","5601.352601566672","5601.352601566672","0","0","814.2761194350344","814.2761194350344","0","0","0.017150637123683365","1","1","0","1","1","0","100","0.09098672128929462","100","0"
"30","100","0.4","0.35","144","5","periodic","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","coherence","0.3","0.8","0","3000","0","11.548111385896988","89.63460399572556","0.4979700221984753","89.63460399572556","0","0.4979700221984753","0","655.5254957609064","655.5254957609064","0","0","827.1674369045412","827.1674369045412","0","0","0.02179643828222355","0.14791124783637316","0.14791124783637316","0","0.10368366384060444","0.10368366384060444","0","100","0.07519570599954724","100","0"
