"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"netlogo/coherence_model_tencon.nlogox"
"H003_batch4_mixed_regime"
"07/03/2026 09:45:00:115 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","coupling-strength","noise-level","perturb-duration","recovery-tolerance","perturbation-regime","perturbation-strength","identity-pull-weight","social-pull-weight","metabolic-rate","shock-multiplier","recovery-rate","fatigue-threshold","fatigue-saturation","fatigue-intensity","cost-decay-rate","fatigue-enabled?","controlled-variance?","selective-identity-pull","human-update-rate","ai-influence-radius","ai-tie-strength-multiplier","ai-noise-multiplier","human-noise-multiplier","coordination-regime","ai-regime-bias-mean","ai-proportion","human-regime-bias-mean","[step]","recovery-time","max-deviation","heading-variance","diversity-index","human-heading-variance","ai-heading-variance","human-diversity-index","ai-diversity-index","mean-cumulative-cost","human-mean-cost","ai-mean-cost","human-ai-cost-ratio","mean-alignment-work","human-mean-alignment-work","ai-mean-alignment-work","human-ai-work-ratio","cost-gini","max-fatigue-level","human-max-fatigue","ai-max-fatigue","mean-fatigue-level","human-mean-fatigue","ai-mean-fatigue","agents-fatigued","initial-coupling-bias-variance","num-humans","num-ais","mean-regime-bias","human-mean-regime-bias","ai-mean-regime-bias","regime-bias-variance"
"16","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","16.719673488096078","87.38394509760552","0.485466361653364","87.38394509760552","0","0.485466361653364","0","11.784914688276444","11.784914688276444","0","0","1240.427920763532","1240.427920763532","0","0","0.11742864899364225","0","0","0","0","0","0","0","0.08077180476923444","100","0","0.05730845533721549","0.05730845533721549","0","0.007732780246791778"
"9","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","10.490786268443898","81.80217808810225","0.4544565449339014","81.80217808810225","0","0.4544565449339014","0","11.136225644485386","11.136225644485386","0","0","1077.4628551735195","1077.4628551735195","0","0","0.08286247762890842","0","0","0","0","0","0","0","0.08457080858788396","100","0","0.06886074646557465","0.06886074646557465","0","0.008161399978332097"
"11","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","15.756643514252715","104.21687064651502","0.5789826147028612","104.21687064651502","0","0.5789826147028612","0","11.35615507088995","11.35615507088995","0","0","1146.585199942722","1146.585199942722","0","0","0.08295454323592888","0","0","0","0","0","0","0","0.0764419068316659","100","0","0.056345182097617234","0.056345182097617234","0","0.006540106022472058"
"15","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","171","16.70380448110393","85.6425227630241","0.4757917931279117","85.6425227630241","0","0.4757917931279117","0","11.088433835607107","11.088433835607107","0","0","910.5414176938154","910.5414176938154","0","0","0.07881576385666955","0","0","0","0","0","0","0","0.07496595206891833","100","0","0.0592190217162333","0.0592190217162333","0","0.006911563700436999"
"13","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","1231","16.125146254737587","77.63179722610461","0.4312877623672478","77.63179722610461","0","0.4312877623672478","0","11.218769857042602","11.218769857042602","0","0","865.8009859804945","865.8009859804945","0","0","0.08469380582617192","0","0","0","0","0","0","0","0.09025108320456818","100","0","0.045796277981686756","0.045796277981686756","0","0.005363570425882552"
"12","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","401","17.922700962389428","83.78403662494607","0.4654668701385893","83.78403662494607","0","0.4654668701385893","0","11.444414939826562","11.444414939826562","0","0","1171.2239383771903","1171.2239383771903","0","0","0.09276491197145553","0","0","0","0","0","0","0","0.06595660834768498","100","0","0.053168645303301815","0.053168645303301815","0","0.006299440243689344"
"20","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","0","14.28584464272673","105.792476984535","0.5877359832474167","105.792476984535","0","0.5877359832474167","0","10.889298854605972","10.889298854605972","0","0","990.2722236205675","990.2722236205675","0","0","0.07490270126949006","0","0","0","0","0","0","0","0.08475945777005556","100","0","0.04545154225086739","0.04545154225086739","0","0.005507004950596593"
"19","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","751","18.857548376466184","77.96636678100135","0.43314648211667417","77.96636678100135","0","0.43314648211667417","0","11.028317064912951","11.028317064912951","0","0","842.1584766238032","842.1584766238032","0","0","0.07218176802087761","0","0","0","0","0","0","0","0.07102094115683369","100","0","0.062157954070684085","0.062157954070684085","0","0.005455432173995493"
"17","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","16","15.897045941024558","99.28912742504954","0.5516062634724974","99.28912742504954","0","0.5516062634724974","0","11.015355009370737","11.015355009370737","0","0","1059.53413608489","1059.53413608489","0","0","0.08506772472250002","0","0","0","0","0","0","0","0.0908366667052614","100","0","0.05418444946798599","0.05418444946798599","0","0.008090805430491378"
"22","100","0.4","0.35","144","5","single","60","0.2","0.5","0.1","1","0.05","500","2000","0.5","0.01","true","false","all","5","8","1.5","0.3","1","mixed","0.8","0","0","3000","251","21.31708558518085","96.22782361113654","0.5345990200618697","96.22782361113654","0","0.5345990200618697","0","11.380914390248293","11.380914390248293","0","0","1095.2161604623925","1095.2161604623925","0","0","0.088010931663558","0","0","0","0","0","0","0","0.09121180102645494","100","0","0.05748158614505642","0.05748158614505642","0","0.0073950524292461725"
